,Activity,Pose - Legs,Main Area,Sub-Location,High-Level Process,Mid-Level Process,Low-Level Process,org:resource,concept:name,case:concept:name,time:timestamp
453,Handling centred,Gait Cycle,Base,_,Storage,Storing_store time,Remove cardboard box/item from the cart,Subject_1,Base,Case_01,2025-01-02 02:53:30.500
454,Walking,Gait Cycle,Cross aisle path,1-2,Storage,Storing_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-02 02:54:50.500
455,Walking,Gait Cycle,Aisle path,2 front,Storage,Storing_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-02 02:55:06.000
456,Walking,Gait Cycle,Cross aisle path,1-2,Storage,Storing_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-02 02:56:32.000
457,Handling centred,Gait Cycle,Base,_,Storage,Storing_store time,Remove cardboard box/item from the cart,Subject_1,Base,Case_01,2025-01-02 02:56:52.500
458,Walking,Gait Cycle,Cross aisle path,1-2,Storage,Storing_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-02 02:58:57.000
459,Walking,Gait Cycle,Aisle path,4 front,Storage,Storing_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-02 03:00:15.500
460,Walking,Gait Cycle,Cross aisle path,3-4,Storage,Storing_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-02 03:03:18.500
461,Walking,Gait Cycle,Base,_,Storage,Storing_travel time,Move to a cart,Subject_1,Base,Case_01,2025-01-02 03:04:11.000
462,Walking,Gait Cycle,Cross aisle path,2-3,Storage,Storing_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-02 03:07:41.500
463,Handling downwards,Step,Aisle path,4 front,Storage,Storing_store time,Placing items on a rack,Subject_1,Aisle path,Case_01,2025-01-02 03:08:44.500
464,Walking,Gait Cycle,Cross aisle path,3-4,Storage,Storing_travel time,Move to next position,Subject_1,Cross aisle path,Case_01,2025-01-02 03:10:08.500
465,Walking,Gait Cycle,Aisle path,3 front,Storage,Storing_travel time,Move to next position,Subject_1,Aisle path,Case_01,2025-01-02 03:10:34.000
466,Walking,Gait Cycle,Cross aisle path,2-3,Storage,Storing_travel time,Move to a cart,Subject_1,Cross aisle path,Case_01,2025-01-02 03:27:03.000
467,Handling centred,Gait Cycle,Base,_,Storage,Storing_store time,Remove cardboard box/item from the cart,Subject_1,Base,Case_01,2025-01-02 03:27:34.500
468,Standing,Step,Cross aisle path,2-3,Storage,Finalizing order,Returning hardware,Subject_1,Cross aisle path,Case_01,2025-01-02 03:28:39.000
469,Push,Gait Cycle,Path,Path (Office),Storage,Finalizing order,Returning hardware,Subject_1,Path,Case_01,2025-01-02 03:30:46.500
470,Push,Gait Cycle,Office,_,Storage,Finalizing order,Returning hardware,Subject_1,Office,Case_01,2025-01-02 03:31:06.000
471,Push,Gait Cycle,Path,Path (Office),Storage,Finalizing order,Returning empty cardboard boxes,Subject_1,Path,Case_01,2025-01-02 03:37:38.500
472,Push,Gait Cycle,Cardboard box area,_,Storage,Finalizing order,Returning empty cardboard boxes,Subject_1,Cardboard box area,Case_01,2025-01-02 03:39:20.000
473,Push,Gait Cycle,Path,Path (Cardboard box area),Storage,Finalizing order,Returning cart,Subject_1,Path,Case_01,2025-01-02 03:42:34.000
474,Push,Gait Cycle,Cart area,_,Storage,Finalizing order,Returning cart,Subject_1,Cart area,Case_01,2025-01-02 03:43:47.500
475,Walking,Gait Cycle,Path,Path (Cart area),Storage,Finalizing order,Returning hardware,Subject_1,Path,Case_01,2025-01-02 03:45:19.000
476,Walking,Gait Cycle,Office,_,Storage,Finalizing order,Returning hardware,Subject_1,Office,Case_01,2025-01-02 03:46:50.000
477,Walking,Gait Cycle,Path,Path (Office),Retrieval,Preparing order,Collecting cart,Subject_2,Path,Case_01,2025-01-02 03:56:31.500
478,Walking,Gait Cycle,Cart area,_,Retrieval,Preparing order,Collecting cart,Subject_2,Cart area,Case_01,2025-01-02 03:58:41.000
479,Pull,Gait Cycle,Path,Path (Cart area),Retrieval,Preparing order,Collecting empty cardboard boxes,Subject_2,Path,Case_01,2025-01-02 04:05:00.000
480,Pull,Gait Cycle,Cardboard box area,_,Retrieval,Preparing order,Collecting empty cardboard boxes,Subject_2,Cardboard box area,Case_01,2025-01-02 04:06:49.000
481,Pull,Gait Cycle,Path,Path (Cardboard box area),Retrieval,Preparing order,Transport a cart to the base,Subject_2,Path,Case_01,2025-01-02 04:12:51.000
482,Pull,Gait Cycle,Cross aisle path,3-4,Retrieval,Preparing order,Transport a cart to the base,Subject_2,Cross aisle path,Case_01,2025-01-02 04:14:54.500
483,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Path,Case_01,2025-01-02 04:21:46.500
484,Walking,Gait Cycle,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Office,Case_01,2025-01-02 04:22:02.000
485,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Path,Case_01,2025-01-02 04:24:38.000
486,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Cross aisle path,Case_01,2025-01-02 04:24:49.500
487,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 04:32:34.000
488,Handling centred,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 04:43:30.000
489,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 04:48:09.500
490,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 04:57:50.500
491,Walking,Gait Cycle,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 05:00:21.000
492,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 05:01:01.000
493,Handling centred,Step,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_2,Base,Case_01,2025-01-02 05:02:55.500
494,Standing,Step,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 05:04:26.000
495,Walking,Gait Cycle,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 05:06:09.500
496,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 05:09:18.500
497,Handling centred,Step,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_2,Base,Case_01,2025-01-02 05:12:22.000
498,Standing,Step,Cross aisle path,1-2,Retrieval,Picking_travel time,Waiting,Subject_2,Cross aisle path,Case_01,2025-01-02 05:13:04.500
499,Handling upwards,Gait Cycle,Aisle path,2 front,Retrieval,Picking_pick time,Retrieval of items,Subject_2,Aisle path,Case_01,2025-01-02 05:16:54.500
500,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 05:17:43.500
501,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_2,Base,Case_01,2025-01-02 05:20:27.500
502,Handling centred,Step,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 05:22:15.500
503,Walking,Gait Cycle,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 05:23:50.500
504,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 05:26:42.000
505,Walking,Gait Cycle,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 05:29:59.500
506,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 05:32:13.000
507,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_2,Base,Case_01,2025-01-02 05:32:56.000
508,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 05:33:19.500
509,Walking,Gait Cycle,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 05:36:36.000
510,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Cross aisle path,Case_01,2025-01-02 05:38:48.000
511,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Path,Case_01,2025-01-02 05:39:19.500
512,Walking,Gait Cycle,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Office,Case_01,2025-01-02 05:39:41.500
513,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Path,Case_01,2025-01-02 05:48:07.500
514,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Cross aisle path,Case_01,2025-01-02 05:48:32.000
515,Walking,Gait Cycle,Aisle path,3 front,Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Aisle path,Case_01,2025-01-02 05:49:06.000
516,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 05:54:16.000
517,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_2,Base,Case_01,2025-01-02 05:54:53.000
518,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 05:55:42.000
519,Walking,Gait Cycle,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 05:56:24.000
520,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 06:00:28.000
521,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_2,Base,Case_01,2025-01-02 06:01:02.000
522,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 06:01:41.000
523,Walking,Gait Cycle,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 06:02:24.500
524,Handling centred,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 06:04:36.500
525,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_2,Base,Case_01,2025-01-02 06:05:15.500
526,Handling centred,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 06:06:27.000
527,Walking,Gait Cycle,Aisle path,4 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 06:09:07.000
528,Standing,Step,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 06:10:26.500
529,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_travel time,Move to a cart,Subject_2,Base,Case_01,2025-01-02 06:12:22.500
530,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 06:14:33.500
531,Walking,Gait Cycle,Aisle path,4 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 06:15:38.500
532,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 06:18:19.500
533,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_2,Base,Case_01,2025-01-02 06:19:38.500
534,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 06:20:40.500
535,Walking,Gait Cycle,Aisle path,4 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 06:22:08.000
536,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 06:24:25.000
537,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_travel time,Move to a cart,Subject_2,Base,Case_01,2025-01-02 06:25:29.500
538,Handling centred,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 06:26:28.500
539,Walking,Gait Cycle,Aisle path,4 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 06:27:37.500
540,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 06:30:49.000
541,Walking,Gait Cycle,Base,_,Retrieval,Picking_travel time,Move to a cart,Subject_2,Base,Case_01,2025-01-02 06:31:51.000
542,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 06:33:06.000
543,Walking,Gait Cycle,Aisle path,5 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 06:34:53.000
544,Walking,Gait Cycle,Cross aisle path,4-5,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 06:44:09.500
545,Walking,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_2,Base,Case_01,2025-01-02 06:46:10.000
546,Handling centred,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 06:48:14.500
547,Pull,Gait Cycle,Path,Path (Office),Retrieval,Packing,Transport to the packaging/sorting area,Subject_2,Path,Case_01,2025-01-02 06:55:58.000
548,Pull,Gait Cycle,Packing/sorting area,_,Retrieval,Packing,Transport to the packaging/sorting area,Subject_2,Packing/sorting area,Case_01,2025-01-02 06:57:07.000
549,Walking,Gait Cycle,Path,Path (Office),Retrieval,Packing,Report and clarify the incident,Subject_2,Path,Case_01,2025-01-02 07:14:47.500
550,Walking,Gait Cycle,Office,_,Retrieval,Packing,Report and clarify the incident,Subject_2,Office,Case_01,2025-01-02 07:15:22.000
551,Walking,Gait Cycle,Path,Path (Office),Retrieval,Packing,Report and clarify the incident,Subject_2,Path,Case_01,2025-01-02 07:17:55.000
552,Walking,Gait Cycle,Cardboard box area,_,Retrieval,Packing,Report and clarify the incident,Subject_2,Cardboard box area,Case_01,2025-01-02 07:19:33.000
553,Walking,Gait Cycle,Path,Path (Cardboard box area),Retrieval,Packing,Report and clarify the incident,Subject_2,Path,Case_01,2025-01-02 07:24:26.000
554,Walking,Gait Cycle,Office,_,Retrieval,Packing,Report and clarify the incident,Subject_2,Office,Case_01,2025-01-02 07:25:55.500
555,Walking,Gait Cycle,Path,Path (Office),Retrieval,Packing,Report and clarify the incident,Subject_2,Path,Case_01,2025-01-02 07:27:51.500
556,Walking,Gait Cycle,Packing/sorting area,_,Retrieval,Packing,Report and clarify the incident,Subject_2,Packing/sorting area,Case_01,2025-01-02 07:28:23.500
557,Pull,Gait Cycle,Path,Path (Office),Retrieval,Finalizing order,Handing over packed cardboard boxes,Subject_2,Path,Case_01,2025-01-02 08:25:20.500
558,Pull,Gait Cycle,Issuing/receiving area,_,Retrieval,Finalizing order,Handing over packed cardboard boxes,Subject_2,Issuing/receiving area,Case_01,2025-01-02 08:28:28.000
559,Pull,Gait Cycle,Path,Path (Issuing area),Retrieval,Finalizing order,Returning hardware,Subject_2,Path,Case_01,2025-01-02 08:35:05.000
560,Pull,Gait Cycle,Office,_,Retrieval,Finalizing order,Returning hardware,Subject_2,Office,Case_01,2025-01-02 08:39:34.000
561,Push,Gait Cycle,Path,Path (Office),Retrieval,Preparing order,Collecting empty cardboard boxes,Subject_2,Path,Case_01,2025-01-02 09:03:11.000
562,Push,Gait Cycle,Cardboard box area,_,Retrieval,Preparing order,Collecting empty cardboard boxes,Subject_2,Cardboard box area,Case_01,2025-01-02 09:05:21.000
563,Push,Gait Cycle,Path,Path (Cardboard box area),Retrieval,Preparing order,Transport a cart to the base,Subject_2,Path,Case_01,2025-01-02 09:12:37.500
564,Pull,Gait Cycle,Cross aisle path,2-3,Retrieval,Preparing order,Transport a cart to the base,Subject_2,Cross aisle path,Case_01,2025-01-02 09:15:17.500
565,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Path,Case_01,2025-01-02 09:21:08.500
566,Walking,Gait Cycle,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Office,Case_01,2025-01-02 09:21:15.500
567,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Path,Case_01,2025-01-02 09:26:42.500
568,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Cross aisle path,Case_01,2025-01-02 09:27:03.000
569,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 09:34:36.500
570,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 09:50:20.500
571,Walking,Gait Cycle,Aisle path,1 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 09:58:10.500
572,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 10:06:29.500
573,Standing,Step,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 10:11:51.500
574,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 10:17:25.000
575,Walking,Gait Cycle,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 10:23:51.500
576,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 10:31:22.000
577,Walking,Gait Cycle,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 10:40:36.500
578,Tick off / confirm,Standing Still,Cross aisle path,1-2,Retrieval,Picking_pick time,Retrieval of items,Subject_2,Cross aisle path,Case_01,2025-01-02 10:50:50.000
579,Walking,Gait Cycle,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 11:02:58.500
580,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 11:07:00.500
581,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_2,Base,Case_01,2025-01-02 11:07:36.000
582,Standing,Step,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 11:09:45.000
583,Walking,Gait Cycle,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 11:15:49.000
584,Walking,Gait Cycle,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 11:23:36.500
585,Walking,Gait Cycle,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 11:28:00.000
586,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 11:35:08.000
587,Walking,Gait Cycle,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 11:39:33.500
588,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 11:43:15.500
589,Walking,Gait Cycle,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 11:47:32.500
590,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Cross aisle path,Case_01,2025-01-02 11:53:52.500
591,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Path,Case_01,2025-01-02 11:56:15.500
592,Walking,Gait Cycle,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Office,Case_01,2025-01-02 11:56:32.500
593,Walking,Gait Cycle,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Path,Case_01,2025-01-02 12:03:58.000
594,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Cross aisle path,Case_01,2025-01-02 12:04:18.500
595,Walking,Gait Cycle,Aisle path,3 front,Retrieval,Picking_travel time,Report and clarify the incident,Subject_2,Aisle path,Case_01,2025-01-02 12:04:46.000
596,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 12:07:58.000
597,Walking,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_2,Base,Case_01,2025-01-02 12:08:31.000
598,Handling centred,Step,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 12:09:05.500
599,Walking,Gait Cycle,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 12:11:39.500
600,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 12:14:46.000
601,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_2,Base,Case_01,2025-01-02 12:15:16.000
602,Standing,Step,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 12:16:00.000
603,Walking,Gait Cycle,Aisle path,4 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 12:17:54.000
604,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 12:21:49.500
605,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_travel time,Move to a cart,Subject_2,Base,Case_01,2025-01-02 12:22:31.500
606,Walking,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 12:24:20.000
607,Walking,Gait Cycle,Aisle path,4 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 12:25:25.500
608,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 12:29:43.000
609,Walking,Gait Cycle,Base,_,Retrieval,Picking_travel time,Move to a cart,Subject_2,Base,Case_01,2025-01-02 12:30:27.500
610,Scan,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 12:31:18.000
611,Walking,Gait Cycle,Aisle path,4 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 12:32:33.500
612,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 12:35:47.000
613,Walking,Gait Cycle,Base,_,Retrieval,Picking_travel time,Move to a cart,Subject_2,Base,Case_01,2025-01-02 12:36:37.500
614,Handling centred,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 12:38:35.000
615,Walking,Gait Cycle,Aisle path,4 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 12:39:21.000
616,Walking,Gait Cycle,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 12:41:20.000
617,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Subject_2,Base,Case_01,2025-01-02 12:42:20.500
618,Handling centred,Gait Cycle,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Subject_2,Cross aisle path,Case_01,2025-01-02 12:43:21.500
619,Handling centred,Gait Cycle,Aisle path,5 front,Retrieval,Picking_travel time,Move to next position,Subject_2,Aisle path,Case_01,2025-01-02 12:45:02.000
620,Walking,Gait Cycle,Cross aisle path,4-5,Retrieval,Picking_travel time,Move to a cart,Subject_2,Cross aisle path,Case_01,2025-01-02 12:48:23.000
621,Handling centred,Gait Cycle,Base,_,Retrieval,Picking_travel time,Move to a cart,Subject_2,Base,Case_01,2025-01-02 12:49:33.000
622,Handling centred,Standing Still,Cross aisle path,2-3,Retrieval,Packing,Transport to the packaging/sorting area,Subject_2,Cross aisle path,Case_01,2025-01-02 12:51:23.000
623,Pull,Gait Cycle,Path,Path (Office),Retrieval,Packing,Transport to the packaging/sorting area,Subject_2,Path,Case_01,2025-01-02 12:59:09.000
624,Pull,Gait Cycle,Packing/sorting area,_,Retrieval,Packing,Transport to the packaging/sorting area,Subject_2,Packing/sorting area,Case_01,2025-01-02 13:01:09.500
625,Pull,Gait Cycle,Path,Path (Office),Retrieval,Finalizing order,Handing over packed cardboard boxes,Subject_2,Path,Case_01,2025-01-02 14:36:34.500
626,Pull,Gait Cycle,Issuing/receiving area,_,Retrieval,Finalizing order,Handing over packed cardboard boxes,Subject_2,Issuing/receiving area,Case_01,2025-01-02 14:39:27.000
627,Push,Gait Cycle,Path,Path (Issuing area),Retrieval,Finalizing order,Returning hardware,Subject_2,Path,Case_01,2025-01-02 14:45:26.500
628,Push,Gait Cycle,Office,_,Retrieval,Finalizing order,Returning hardware,Subject_2,Office,Case_01,2025-01-02 14:48:37.000
629,Pull,Gait Cycle,Path,Path (Office),Retrieval,Preparing order,Collecting empty cardboard boxes,Subject_2,Path,Case_01,2025-01-02 17:02:16.500
630,Push,Gait Cycle,Cardboard box area,_,Retrieval,Preparing order,Collecting empty cardboard boxes,Subject_2,Cardboard box area,Case_01,2025-01-02 17:05:13.000
631,Pull,Gait Cycle,Path,Path (Cardboard box area),Retrieval,Preparing order,Transport a cart to the base,Subject_2,Path,Case_01,2025-01-02 17:08:45.000
