,Activity,Main Area,Sub-Location,High-Level Process,Mid-Level Process,Low-Level Process,Pose - Legs,concept:name,org:resource,case:concept:name,time:timestamp
313220,Handling downwards,Issuing/receiving area,_,Storage,Preparing order,Collecting packed cardboard boxes,,Issuing/receiving area,Subject_01,Case_01,2025-01-02 19:30:10.000
313387,Standing,Path,Path (Issuing area),Storage,Preparing order,Collecting packed cardboard boxes,,Path,Subject_01,Case_01,2025-01-02 19:31:33.500
313432,Handling downwards,Issuing/receiving area,_,Storage,Preparing order,Collecting packed cardboard boxes,,Issuing/receiving area,Subject_01,Case_01,2025-01-02 19:31:56.000
314009,Handling upwards,Path,Path (Issuing area),Storage,Preparing order,Collecting packed cardboard boxes,,Path,Subject_01,Case_01,2025-01-02 19:36:44.500
314497,Walking,Cardboard box area,_,Storage,Finalizing order,Returning empty cardboard boxes,,Cardboard box area,Subject_01,Case_01,2025-01-02 19:40:48.500
314624,Walking,Path,Path (Cardboard box area),Storage,Unpacking,Transport a cart to the base,,Path,Subject_01,Case_01,2025-01-02 19:41:52.000
314947,Push,Cross aisle path,3-4,Storage,Unpacking,Transport a cart to the base,,Cross aisle path,Subject_01,Case_01,2025-01-02 19:44:33.500
315113,Handling centred,Base,_,Storage,Unpacking,Open cardboard box,,Base,Subject_01,Case_01,2025-01-02 19:45:56.500
316511,Handling centred,Cross aisle path,1-2,Storage,Unpacking,Transport to the packing/sorting area,,Cross aisle path,Subject_01,Case_01,2025-01-02 19:57:35.500
316726,Push,Path,Path (Office),Storage,Unpacking,Transport to the packing/sorting area,,Path,Subject_01,Case_01,2025-01-02 19:59:23.000
316890,Push,Packing/sorting area,_,Storage,Unpacking,Transport to the packing/sorting area,,Packing/sorting area,Subject_01,Case_01,2025-01-02 20:00:45.000
320744,Pull,Path,Path (Office),Storage,Storing _ Travel time,Transport a cart to the base,,Path,Subject_01,Case_01,2025-01-02 20:32:52.000
320962,Push,Cross aisle path,3-4,Storage,Storing _ Travel time,Transport a cart to the base,,Cross aisle path,Subject_01,Case_01,2025-01-02 20:34:41.000
321086,Handling upwards,Base,_,Storage,Storing _ Travel time,Move to next position,,Base,Subject_01,Case_01,2025-01-02 20:35:43.000
321272,Walking,Cross aisle path,2-3,Storage,Special processes,Report and clarify the incident,,Cross aisle path,Subject_01,Case_01,2025-01-02 20:37:16.000
321301,Walking,Path,Path (Office),Storage,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-02 20:37:30.500
321424,Walking,Cross aisle path,3-4,Storage,Special processes,Report and clarify the incident,,Cross aisle path,Subject_01,Case_01,2025-01-02 20:38:32.000
321472,Walking,Base,_,Storage,Special processes,Report and clarify the incident,,Base,Subject_01,Case_01,2025-01-02 20:38:56.000
322017,Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 20:43:28.500
322102,Standing,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-02 20:44:11.000
322170,Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 20:44:45.000
322248,Walking,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-02 20:45:24.000
323528,Walking,Cross aisle path,4-5,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 20:56:04.000
323619,Walking,Aisle path,5 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-02 20:56:49.500
323916,Walking,Cross aisle path,4-5,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-02 20:59:18.000
324138,Walking,Base,_,Storage,Storing _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-02 21:01:09.000
324954,Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 21:07:57.000
325160,Walking,Aisle path,5 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-02 21:09:40.000
325293,Walking,Cross aisle path,4-5,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 21:10:46.500
325364,Walking,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-02 21:11:22.000
325572,Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-02 21:13:06.000
325711,Walking,Base,_,Storage,Storing _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-02 21:14:15.500
326230,Handling centred,Cross aisle path,1-2,Storage,,Remove cardboard box/item from the cart,,Cross aisle path,Subject_01,Case_01,2025-01-02 21:18:35.000
326333,Handling centred,Base,_,Storage,,Remove cardboard box/item from the cart,,Base,Subject_01,Case_01,2025-01-02 21:19:26.500
326926,Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 21:24:23.000
327057,Walking,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-02 21:25:28.500
327393,Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 21:28:16.500
327460,Walking,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-02 21:28:50.000
327594,Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-02 21:29:57.000
327659,Handling centred,Base,_,Storage,,Remove cardboard box/item from the cart,,Base,Subject_01,Case_01,2025-01-02 21:30:29.500
328118,Walking,Cross aisle path,2-3,Storage,,Remove cardboard box/item from the cart,,Cross aisle path,Subject_01,Case_01,2025-01-02 21:34:19.000
328180,Walking,Base,_,Storage,,Remove cardboard box/item from the cart,,Base,Subject_01,Case_01,2025-01-02 21:34:50.000
328510,Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 21:37:35.000
328560,Walking,Aisle path,2 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-02 21:38:00.000
328786,Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 21:39:53.000
328901,Walking,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-02 21:40:50.500
329082,Handling centred,Base,_,Storage,,Remove cardboard box/item from the cart,,Base,Subject_01,Case_01,2025-01-02 21:42:21.000
329285,Handling centred,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 21:44:02.500
329341,Handling centred,Aisle path,2 front,Storage,Storing _ Store time,Placing items on a rack,,Aisle path,Subject_01,Case_01,2025-01-02 21:44:30.500
330976,Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-02 21:58:08.000
331020,Walking,Base,_,Storage,Storing _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-02 21:58:30.000
331336,Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 22:01:08.000
331410,Walking,Base,_,Storage,Storing _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-02 22:01:45.000
331694,Handling centred,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 22:04:07.000
331759,Handling centred,Aisle path,2 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-02 22:04:39.500
332242,Handling centred,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 22:08:41.000
332343,Walking,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-02 22:09:31.500
332482,Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-02 22:10:41.000
332593,Walking,Base,_,Storage,Storing _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-02 22:11:36.500
333217,Handling upwards,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 22:16:48.500
333277,Walking,Aisle path,1 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-02 22:17:18.500
335684,Walking,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-02 22:37:22.000
335756,Handling upwards,Base,_,Storage,Storing _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-02 22:37:58.000
335789,Handling upwards,Cross aisle path,1-2,Storage,Special processes,Report and clarify the incident,,Cross aisle path,Subject_01,Case_01,2025-01-02 22:38:14.500
335905,Walking,Path,Path (Office),Storage,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-02 22:39:12.500
335954,Walking,Office,_,Storage,Special processes,Report and clarify the incident,,Office,Subject_01,Case_01,2025-01-02 22:39:37.000
336201,Walking,Path,Path (Office),Storage,Special processes,Report and clarify the incident,,Path,Subject_01,Case_01,2025-01-02 22:41:40.500
336245,Walking,Cross aisle path,3-4,Storage,Special processes,Report and clarify the incident,,Cross aisle path,Subject_01,Case_01,2025-01-02 22:42:02.500
336367,Walking,Base,_,Storage,Storing _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-02 22:43:03.500
336862,Handling centred,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 22:47:11.000
337215,Walking,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-02 22:50:07.500
337639,Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-02 22:53:39.500
337915,Walking,Aisle path,4 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-02 22:55:57.500
338118,Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-02 22:57:39.000
338320,Walking,Base,_,Storage,Storing _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-02 22:59:20.000
340062,Handling centred,Cross aisle path,1-2,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 23:13:51.000
340243,Walking,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-02 23:15:21.500
340919,Walking,Cross aisle path,3-4,Storage,Storing _ Travel time,Move to next position,,Cross aisle path,Subject_01,Case_01,2025-01-02 23:20:59.500
340983,Handling centred,Aisle path,3 front,Storage,Storing _ Travel time,Move to next position,,Aisle path,Subject_01,Case_01,2025-01-02 23:21:31.500
344390,Walking,Cross aisle path,2-3,Storage,Storing _ Travel time,Move to a cart,,Cross aisle path,Subject_01,Case_01,2025-01-02 23:49:55.000
344503,Walking,Base,_,Storage,Storing _ Travel time,Move to a cart,,Base,Subject_01,Case_01,2025-01-02 23:50:51.500
344546,Handling upwards,Cross aisle path,1-2,Storage,Unpacking,Transport to the packing/sorting area,,Cross aisle path,Subject_01,Case_01,2025-01-02 23:51:13.000
344886,Push,Path,Path (Office),Storage,Unpacking,Transport to the packing/sorting area,,Path,Subject_01,Case_01,2025-01-02 23:54:03.000
345021,Push,Packing/sorting area,_,Storage,Unpacking,Transport to the packing/sorting area,,Packing/sorting area,Subject_01,Case_01,2025-01-02 23:55:10.500
346546,Push,Path,Path (Office),Storage,Finalizing order,Returning empty cardboard boxes,,Path,Subject_01,Case_01,2025-01-03 00:07:53.000
346928,Push,Cardboard box area,_,Storage,Finalizing order,Returning empty cardboard boxes,,Cardboard box area,Subject_01,Case_01,2025-01-03 00:11:04.000
347181,Pull,Path,Path (Cardboard box area),Storage,Finalizing order,Returning cart,,Path,Subject_01,Case_01,2025-01-03 00:13:10.500
347413,Push,Cart area,_,Storage,Finalizing order,Returning cart,,Cart area,Subject_01,Case_01,2025-01-03 00:15:06.500
347525,Walking,Path,Path (Cart area),Storage,Finalizing order,Returning hardware,,Path,Subject_01,Case_01,2025-01-03 00:16:02.500
347727,Walking,Office,_,Storage,Finalizing order,Returning hardware,,Office,Subject_01,Case_01,2025-01-03 00:17:43.500
348265,Walking,Path,Path (Office),Retrieval,Preparing order,Collecting cart,Gait Cycle,Path,Subject_01,Case_01,2025-01-03 00:22:12.500
348479,Handling centred,Cart area,_,Retrieval,Preparing order,Collecting cart,Gait Cycle,Cart area,Subject_01,Case_01,2025-01-03 00:23:59.500
348677,Pull,Path,Path (Cart area),Retrieval,Preparing order,Collecting empty cardboard boxes,Gait Cycle,Path,Subject_01,Case_01,2025-01-03 00:25:38.500
349009,Push,Cardboard box area,_,Retrieval,Preparing order,Collecting empty cardboard boxes,Gait Cycle,Cardboard box area,Subject_01,Case_01,2025-01-03 00:28:24.500
349338,Push,Path,Path (Cardboard box area),Retrieval,Picking_travel time,Transport a cart to the base,Gait Cycle,Path,Subject_01,Case_01,2025-01-03 00:31:09.000
349558,Push,Cross aisle path,3-4,Retrieval,Picking_travel time,Transport a cart to the base,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 00:32:59.000
349926,Walking,Aisle path,1 front,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 00:36:03.000
352259,Walking,Cross aisle path,1-2,Retrieval,Picking_travel time,Report and clarify the incident,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 00:55:29.500
352544,Handling centred,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Gait Cycle,Path,Subject_01,Case_01,2025-01-03 00:57:52.000
352579,Handling centred,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Gait Cycle,Office,Subject_01,Case_01,2025-01-03 00:58:09.500
352842,Handling centred,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Gait Cycle,Path,Subject_01,Case_01,2025-01-03 01:00:21.000
352874,Handling centred,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 01:00:37.000
353447,Handling centred,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Gait Cycle,Base,Subject_01,Case_01,2025-01-03 01:05:23.500
353841,Handling centred,Cross aisle path,1-2,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 01:08:40.500
354081,Walking,Aisle path,1 front,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 01:10:40.500
355919,Walking,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 01:25:59.500
355964,Handling upwards,Base,_,Retrieval,Picking_travel time,Move to a cart,Gait Cycle,Base,Subject_01,Case_01,2025-01-03 01:26:22.000
356045,Handling centred,Cross aisle path,1-2,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 01:27:02.500
356552,Handling centred,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Gait Cycle,Base,Subject_01,Case_01,2025-01-03 01:31:16.000
356950,Walking,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 01:34:35.000
357057,Walking,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 01:35:28.500
358591,Handling centred,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 01:48:15.500
358681,Handling upwards,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Gait Cycle,Base,Subject_01,Case_01,2025-01-03 01:49:00.500
358839,Handling upwards,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 01:50:19.500
358931,Walking,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 01:51:05.500
361786,Walking,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 02:14:53.000
361858,Handling centred,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Gait Cycle,Base,Subject_01,Case_01,2025-01-03 02:15:29.000
362023,Walking,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 02:16:51.500
362128,Walking,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 02:17:44.000
362539,Handling centred,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 02:21:09.500
362612,Handling upwards,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Gait Cycle,Base,Subject_01,Case_01,2025-01-03 02:21:46.000
362751,Walking,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 02:22:55.500
362855,Walking,Aisle path,2 front,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 02:23:47.500
364160,Standing,Cross aisle path,2-3,Retrieval,Picking_travel time,Report and clarify the incident,Standing Still,Cross aisle path,Subject_01,Case_01,2025-01-03 02:34:40.000
364286,Handling centred,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Gait Cycle,Path,Subject_01,Case_01,2025-01-03 02:35:43.000
364304,Walking,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Gait Cycle,Office,Subject_01,Case_01,2025-01-03 02:35:52.000
365158,Walking,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Gait Cycle,Path,Subject_01,Case_01,2025-01-03 02:42:59.000
365190,Walking,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 02:43:15.000
365279,Walking,Aisle path,2 front,Retrieval,Picking_travel time,Report and clarify the incident,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 02:43:59.500
365725,Walking,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to a cart,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 02:47:42.500
365790,Handling centred,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Gait Cycle,Base,Subject_01,Case_01,2025-01-03 02:48:15.000
365950,Walking,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 02:49:35.000
366136,Standing,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Step,Aisle path,Subject_01,Case_01,2025-01-03 02:51:08.000
366331,Handling centred,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 02:52:45.500
366470,Handling centred,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Gait Cycle,Base,Subject_01,Case_01,2025-01-03 02:53:55.000
366632,Walking,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 02:55:16.000
366856,Walking,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 02:57:08.000
367986,Walking,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 03:06:33.000
368119,Walking,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 03:07:39.500
368583,Walking,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 03:11:31.500
368629,Walking,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Gait Cycle,Path,Subject_01,Case_01,2025-01-03 03:11:54.500
368664,Walking,Office,_,Retrieval,Picking_travel time,Report and clarify the incident,Gait Cycle,Office,Subject_01,Case_01,2025-01-03 03:12:12.000
369456,Walking,Path,Path (Office),Retrieval,Picking_travel time,Report and clarify the incident,Gait Cycle,Path,Subject_01,Case_01,2025-01-03 03:18:48.000
369535,Standing,Cross aisle path,3-4,Retrieval,Picking_travel time,Report and clarify the incident,Standing Still,Cross aisle path,Subject_01,Case_01,2025-01-03 03:19:27.500
369597,Walking,Aisle path,3 front,Retrieval,Picking_travel time,Report and clarify the incident,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 03:19:58.500
371318,Walking,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 03:34:19.000
371441,Walking,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Gait Cycle,Base,Subject_01,Case_01,2025-01-03 03:35:20.500
371622,Walking,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 03:36:51.000
371754,Walking,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 03:37:57.000
372477,Walking,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 03:43:58.500
372611,Handling upwards,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Gait Cycle,Base,Subject_01,Case_01,2025-01-03 03:45:05.500
372757,Walking,Cross aisle path,1-2,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 03:46:18.500
372886,Walking,Aisle path,3 front,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 03:47:23.000
373185,Walking,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to a cart,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 03:49:52.500
373320,Handling upwards,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Gait Cycle,Base,Subject_01,Case_01,2025-01-03 03:51:00.000
373593,Push,Cross aisle path,1-2,Retrieval,Packing,Transport to the packaging/sorting area,Standing Still,Cross aisle path,Subject_01,Case_01,2025-01-03 03:53:16.500
373822,Push,Path,Path (Office),Retrieval,Packing,Transport to the packaging/sorting area,Gait Cycle,Path,Subject_01,Case_01,2025-01-03 03:55:11.000
373984,Push,Packing/sorting area,_,Retrieval,Packing,Transport to the packaging/sorting area,Gait Cycle,Packing/sorting area,Subject_01,Case_01,2025-01-03 03:56:32.000
374585,Pull,Path,Path (Office),Retrieval,Picking_travel time,Transport a cart to the base,Gait Cycle,Path,Subject_01,Case_01,2025-01-03 04:01:32.500
374859,Push,Cross aisle path,3-4,Retrieval,Picking_travel time,Transport a cart to the base,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 04:03:49.500
375015,Walking,Aisle path,4 front,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 04:05:07.500
375258,Walking,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 04:07:09.000
375400,Handling upwards,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Standing Still,Base,Subject_01,Case_01,2025-01-03 04:08:20.000
375547,Walking,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 04:09:33.500
375707,Walking,Aisle path,4 front,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 04:10:53.500
376440,Walking,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 04:17:00.000
376568,Handling centred,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Gait Cycle,Base,Subject_01,Case_01,2025-01-03 04:18:04.000
376708,Walking,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 04:19:14.000
376842,Walking,Aisle path,4 front,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 04:20:21.000
377570,Walking,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 04:26:25.000
377884,Walking,Aisle path,4 front,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 04:29:02.000
378768,Walking,Cross aisle path,3-4,Retrieval,Picking_travel time,Move to a cart,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 04:36:24.000
378904,Handling upwards,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Standing Still,Base,Subject_01,Case_01,2025-01-03 04:37:32.000
378967,Walking,Cross aisle path,2-3,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 04:38:03.500
379153,Walking,Aisle path,5 front,Retrieval,Picking_travel time,Move to next position,Gait Cycle,Aisle path,Subject_01,Case_01,2025-01-03 04:39:36.500
379470,Walking,Cross aisle path,4-5,Retrieval,Picking_travel time,Move to a cart,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 04:42:15.000
379662,Tick off / confirm,Base,_,Retrieval,Picking_pick time,Place cardboard box/item in a cart,Gait Cycle,Base,Subject_01,Case_01,2025-01-03 04:43:51.000
379859,Push,Cross aisle path,2-3,Retrieval,Packing,Transport to the packaging/sorting area,Gait Cycle,Cross aisle path,Subject_01,Case_01,2025-01-03 04:45:29.500
379986,Push,Path,Path (Office),Retrieval,Packing,Transport to the packaging/sorting area,Gait Cycle,Path,Subject_01,Case_01,2025-01-03 04:46:33.000
380165,Push,Packing/sorting area,_,Retrieval,Packing,Transport to the packaging/sorting area,Gait Cycle,Packing/sorting area,Subject_01,Case_01,2025-01-03 04:48:02.500
381366,Walking,Path,Path (Office),Retrieval,Packing,Waiting,Gait Cycle,Path,Subject_01,Case_01,2025-01-03 04:58:03.000
382127,Walking,Packing/sorting area,_,Retrieval,Packing,Waiting,Gait Cycle,Packing/sorting area,Subject_01,Case_01,2025-01-03 05:04:23.500
392564,Handling upwards,Path,Path (Office),Retrieval,Packing,Report and clarify the incident,Gait Cycle,Path,Subject_01,Case_01,2025-01-03 06:31:22.000
392624,Handling centred,Office,_,Retrieval,Packing,Report and clarify the incident,Gait Cycle,Office,Subject_01,Case_01,2025-01-03 06:31:52.000
